r,g,b,h,s,v,c,m,y,k,hex,name
116,183,46,0.2482,0.7486,0.7176,0.3661,0.0,0.7486,0.2824,74B72E,Pear
70,109,29,0.2479,0.7339,0.4275,0.3578,0.0,0.7339,0.5725,466D1D,Moss
3,172,19,0.3491,0.9826,0.6745,0.9826,0.0,0.8895,0.3255,03AC13,Shamrock
61,237,151,0.4186,0.7426,0.9294,0.7426,0.0,0.3629,0.0706,3DED97,Seafoam
35,79,30,0.3163,0.6203,0.3098,0.557,0.0,0.6203,0.6902,234F1E,Pine
3,192,74,0.3959,0.9844,0.7529,0.9844,0.0,0.6146,0.2471,03C04A,Parakeet
153,237,195,0.4167,0.3544,0.9294,0.3544,0.0,0.1772,0.0706,99EDC3,Mint
53,74,33,0.252,0.5541,0.2902,0.2838,0.0,0.5541,0.7098,354A21,Seaweed
89,125,53,0.25,0.576,0.4902,0.288,0.0,0.576,0.5098,597D35,Pickle
178,211,194,0.4141,0.1564,0.8275,0.1564,0.0,0.0806,0.1725,B2D3C2,Pistachio
50,97,45,0.3173,0.5361,0.3804,0.4845,0.0,0.5361,0.6196,32612D,Basil
96,125,59,0.2399,0.528,0.4902,0.232,0.0,0.528,0.5098,607D3B,Crocodile
59,122,87,0.4074,0.5164,0.4784,0.5164,0.0,0.2869,0.5216,3B7A57,Amazon
86,130,3,0.2244,0.9769,0.5098,0.3385,0.0,0.9769,0.4902,568203,Avocado
172,225,175,0.3428,0.2356,0.8824,0.2356,0.0,0.2222,0.1176,ACE1AF,Celadon
11,102,35,0.3773,0.8922,0.4,0.8922,0.0,0.6569,0.6,0B6623,Forest Green
63,112,77,0.381,0.4375,0.4392,0.4375,0.0,0.3125,0.5608,3F704D,Hunter Green
143,151,121,0.2111,0.1987,0.5922,0.053,0.0,0.1987,0.4078,8F9779,Artichoke Green
41,171,135,0.4538,0.7602,0.6706,0.7602,0.0,0.2105,0.3294,29AB87,Jungle Green
0,117,94,0.4672,1.0,0.4588,1.0,0.0,0.1966,0.5412,00755E,Tropical Rainforest
0,166,147,0.4809,1.0,0.651,1.0,0.0,0.1145,0.349,00A693,Persian Green
46,139,87,0.4068,0.6691,0.5451,0.6691,0.0,0.3741,0.4549,2E8B57,Sea Green
0,168,107,0.4395,1.0,0.6588,1.0,0.0,0.3631,0.3412,00A86B,Jade Green
169,186,157,0.2644,0.1559,0.7294,0.0914,0.0,0.1559,0.2706,A9BA9D,Laurel Green
75,83,32,0.1928,0.6145,0.3255,0.0964,0.0,0.6145,0.6745,4B5320,Army Green
76,187,23,0.2795,0.877,0.7333,0.5936,0.0,0.877,0.2667,4CBB17,Kelly Green
80,200,120,0.3889,0.6,0.7843,0.6,0.0,0.4,0.2157,50C878,Paris Green
0,102,0,0.3333,1.0,0.4,1.0,0.0,1.0,0.6,006600,Pakistan Green
0,240,168,0.45,1.0,0.9412,1.0,0.0,0.3,0.0588,00F0A8,Spring
72,168,96,0.375,0.5714,0.6588,0.5714,0.0,0.4286,0.3412,48A860,Chateau
168,192,144,0.25,0.25,0.7529,0.125,0.0,0.25,0.2471,A8C090,Swamp
116,195,101,0.3067,0.4821,0.7647,0.4051,0.0,0.4821,0.2353,74C365,Mantis
0,120,72,0.4333,1.0,0.4706,1.0,0.0,0.4,0.5294,007848,Fun
96,144,120,0.4167,0.3333,0.5647,0.3333,0.0,0.1667,0.4353,609078,Viridian
108,124,89,0.2429,0.2823,0.4863,0.129,0.0,0.2823,0.5137,6C7C59,Reseda Green
72,120,0,0.2333,1.0,0.4706,0.4,0.0,1.0,0.5294,487800,Verdun
0,86,59,0.4477,1.0,0.3373,1.0,0.0,0.314,0.6627,00563B,Castleton Green
0,106,78,0.456,1.0,0.4157,1.0,0.0,0.2642,0.5843,006A4E,Bottle Green
0,107,60,0.4268,1.0,0.4196,1.0,0.0,0.4393,0.5804,006B3C,Cadmium Green
120,134,107,0.2531,0.2015,0.5255,0.1045,0.0,0.2015,0.4745,78866B,Camouflage Green
133,187,101,0.2713,0.4599,0.7333,0.2888,0.0,0.4599,0.2667,85BB65,Dollar Bill
178,236,93,0.2343,0.6059,0.9255,0.2458,0.0,0.6059,0.0745,B2EC5D,Inchworm
57,68,188,0.6527,0.6968,0.7373,0.6968,0.6383,0.0,0.2627,3944BC,Blue
117,124,136,0.6053,0.1397,0.5333,0.1397,0.0882,0.0,0.4667,757C88,Slate
99,197,218,0.5294,0.5459,0.8549,0.5459,0.0963,0.0,0.1451,63C5DA,Sky
10,17,114,0.6554,0.9123,0.4471,0.9123,0.8509,0.0,0.5529,0A1172,Navy
40,30,93,0.6931,0.6774,0.3647,0.5699,0.6774,0.0,0.6353,281E5D,Indigo
19,56,190,0.6306,0.9,0.7451,0.9,0.7053,0.0,0.2549,1338BE,Cobalt
72,170,173,0.505,0.5838,0.6784,0.5838,0.0173,0.0,0.3216,48AAAD,Teal
1,96,100,0.5067,0.99,0.3922,0.99,0.04,0.0,0.6078,016064,Ocean
2,45,54,0.5288,0.963,0.2118,0.963,0.1667,0.0,0.7882,022D36,Peacock
21,32,166,0.654,0.8735,0.651,0.8735,0.8072,0.0,0.349,1520A6,Azure
4,146,194,0.5421,0.9794,0.7608,0.9794,0.2474,0.0,0.2392,0492C2,Cerulean
40,50,194,0.6558,0.7938,0.7608,0.7938,0.7423,0.0,0.2392,2832C2,Lapis
44,62,76,0.5729,0.4211,0.298,0.4211,0.1842,0.0,0.702,2C3E4C,Spruce
89,120,142,0.5692,0.3732,0.5569,0.3732,0.1549,0.0,0.4431,59788E,Stone
31,69,110,0.5865,0.7182,0.4314,0.7182,0.3727,0.0,0.5686,1F456E,Aegean
36,21,113,0.6938,0.8142,0.4431,0.6814,0.8142,0.0,0.5569,241571,Blueberry
21,30,61,0.6292,0.6557,0.2392,0.6557,0.5082,0.0,0.7608,151E3D,Denim
5,16,148,0.6538,0.9662,0.5804,0.9662,0.8919,0.0,0.4196,051094,Admiral
82,178,191,0.5199,0.5707,0.749,0.5707,0.0681,0.0,0.251,52B2BF,Sapphire
